ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2024-11-10 13:43:23+00:00,tizen,205264,US,68.42.71.111,Add Up My Love,Clairo,Charm,spotify:track:6FcDxtnGfsYHOcGkXN2OIG,,,,,,,,trackdone,trackdone,False,False,False,1731245998,False,13,afternoon
2024-11-10 13:46:54+00:00,tizen,211140,US,68.42.71.111,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,spotify:track:7EAMXbLcL0qXmciM5SwMh2,,,,,,,,trackdone,trackdone,False,False,False,1731246203,False,13,afternoon
2024-11-10 13:49:30+00:00,tizen,155500,US,68.42.71.111,Better in the Dark,Jordana,Summer's Over,spotify:track:3SeDS5sSoWnwAZvVgkdKzf,,,,,,,,trackdone,trackdone,False,False,False,1731246414,False,13,afternoon
2024-11-10 13:52:09+00:00,tizen,159246,US,68.42.71.111,End of Beginning,Djo,DECIDE,spotify:track:3qhlB30KknSejmIvZZLjOD,,,,,,,,trackdone,trackdone,False,False,False,1731246570,False,13,afternoon
2024-11-10 13:55:50+00:00,tizen,221533,US,68.42.71.111,This Night Has Opened My Eyes - 2011 Remaster,The Smiths,Hatful of Hollow,spotify:track:69Kzq3FMkDwiSFBQzRckFD,,,,,,,,trackdone,trackdone,False,False,False,1731246729,False,13,afternoon
2024-11-10 14:00:09+00:00,tizen,258419,US,68.42.71.111,American Teenager,Ethel Cain,Preacher’s Daughter,spotify:track:4ltqfN12ohaVZdM6C45gMg,,,,,,,,trackdone,trackdone,False,False,False,1731246950,False,14,afternoon
2024-11-10 14:03:36+00:00,tizen,207796,US,68.42.71.111,Sexy to Someone,Clairo,Charm,spotify:track:3awweDjWIuXNMogMClJnvE,,,,,,,,trackdone,trackdone,False,False,False,1731247209,False,14,afternoon
2024-11-10 14:07:36+00:00,tizen,239646,US,68.42.71.111,Preoccupied,Mac DeMarco,Here Comes The Cowboy,spotify:track:6N4WUdbz6HVKy6u6JX1KqK,,,,,,,,trackdone,trackdone,False,False,False,1731247416,False,14,afternoon
2024-11-10 14:10:17+00:00,tizen,161124,US,68.42.71.111,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,spotify:track:086myS9r57YsLbJpU0TgK9,,,,,,,,trackdone,trackdone,False,False,False,1731247656,False,14,afternoon
2024-11-10 14:11:55+00:00,tizen,97960,US,68.42.71.111,Babydoll,Dominic Fike,"Don't Forget About Me, Demos",spotify:track:7yNf9YjeO5JXUE3JEBgnYc,,,,,,,,trackdone,trackdone,False,False,False,1731247817,False,14,afternoon
