ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2024-04-13 10:04:15+00:00,ios,187800,US,35.1.41.148,the way things go,beabadoobee,the way things go,spotify:track:5sA3i6SGkILMiZW6Fhx4wv,,,,,,,,trackdone,trackdone,True,False,False,1713002468,False,10,morning
2024-04-13 10:06:36+00:00,ios,139906,US,35.1.41.148,Why,Dominic Fike,What Could Possibly Go Wrong,spotify:track:1xLs8Mu1QEVbGCpyHQ2r2U,,,,,,,,trackdone,trackdone,True,False,False,1713002656,False,10,morning
2024-04-13 10:09:16+00:00,ios,159245,US,35.1.41.148,End of Beginning,Djo,DECIDE,spotify:track:3qhlB30KknSejmIvZZLjOD,,,,,,,,trackdone,trackdone,True,False,False,1713002797,False,10,morning
2024-04-13 10:13:06+00:00,ios,229626,US,35.1.41.148,Featherstone,The Paper Kites,Woodland,spotify:track:5KaN2M7seUV4uyNFp4twv6,,,,,,,,trackdone,trackdone,True,False,False,1713002956,False,10,morning
2024-04-13 10:16:15+00:00,ios,188386,US,35.1.41.148,Sofia,Clairo,Immunity,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,,,,,,,,trackdone,trackdone,True,False,False,1713003186,False,10,morning
2024-04-13 10:19:16+00:00,ios,180020,US,35.1.41.148,Subliming,Richy Mitch & The Coal Miners,Subliming,spotify:track:5RZnVgD7WdHPzfaWJSKdQa,,,,,,,,trackdone,trackdone,True,False,False,1713003375,False,10,morning
2024-04-13 10:22:07+00:00,ios,171280,US,35.1.41.148,Mess It Up,Gracie Abrams,Mess It Up,spotify:track:0PLhwCmQ7cC3ThRGPn3HxF,,,,,,,,trackdone,trackdone,True,False,False,1713003556,False,10,morning
2024-04-13 10:25:05+00:00,ios,177212,US,35.1.41.148,lacy,Olivia Rodrigo,GUTS,spotify:track:6QT6j7rKt7Vk3IuV2AUO9W,,,,,,,,trackdone,trackdone,True,False,False,1713003728,False,10,morning
2024-04-13 10:28:03+00:00,ios,177677,US,35.1.41.148,Evangeline,Stephen Sanchez,Angel Face,spotify:track:7vANkmN3lIED9QkNS48N14,,,,,,,,trackdone,trackdone,True,False,False,1713003905,False,10,morning
2024-04-13 10:30:23+00:00,ios,139240,US,35.1.41.148,Southern Star,Gregory Alan Isakov,Evening Machines,spotify:track:6YXbSjabsKQ1pNvj6zcJ9V,,,,,,,,trackdone,trackdone,True,False,False,1713004083,False,10,morning
2024-04-13 10:33:16+00:00,ios,173640,US,35.1.41.148,Falling Behind,Laufey,Everything I Know About Love,spotify:track:4KGGeE7RJsgLNZmnxGFlOj,,,,,,,,trackdone,trackdone,True,False,False,1713004223,False,10,morning
2024-04-13 10:37:09+00:00,ios,231586,US,35.1.41.148,Woodland,The Paper Kites,Woodland,spotify:track:2dm13KtTfScU9ObCzYzGyS,,,,,,,,trackdone,trackdone,True,False,False,1713004397,False,10,morning
